car_full_nm,horsepower_bhp,rpm_horsepower_measure_point,torque_lb_ft,rpm_torque_measure_point,car_0_60_time_seconds,engine_size_cc,engine_size_cat,engine_size_ci,top_speed_mph,top_speed_kph,horsepower_per_ton_bhp,year,decade,make_nm,car_weight_tons,torque_per_ton
Alfa-Romeo Disco Volante 1900 Touring Spider - [1952],138,6500,122,5000,NA,1997,1,121.8,137,220,184,1952,1950s,Alfa-Romeo,0.75,162.6666667
Peugeot 206 2.0 GTi - [1999],137,6000,140,4100,NA,1997,1,121.8,130,209,121.7,1999,1990s,Peugeot,1.125718981,124.3649635
Mitsubishi Lancer Evo X FQ 400 - [2009],403,6500,387,3500,3.6,1998,1,121.9,155,249,258.3,2009,2000s,Mitsubishi,1.560201316,248.0449132
Fisker Karma Hybrid - [2011],402,1,981,1,NA,1998,1,121.9,125,201,167.5,2011,2010s,Fisker,2.4,408.75
Ariel Atom 300 Supercharged - [1999],300,8200,162,7200,3.3,1998,1,121.9,121,194,545.4,1999,1990s,Ariel,0.550055006,294.516
Subaru Legacy B4 2.0 GT DIT - [2012],296,5600,295,2000,NA,1998,1,121.9,155,249,189.7,2012,2010s,Subaru,1.560358461,189.0591216
Mitsubishi Lancer Evo X RS - [2008],295,6500,311,3500,NA,1998,1,121.9,155,249,207.7,2008,2000s,Mitsubishi,1.420317766,218.9650847
Mitsubishi Lancer Evo GSR - [2012],291,6500,270,3500,NA,1998,1,121.9,149,239,182.4,2012,2010s,Mitsubishi,1.595394737,169.2371134
Vauxhall-Opel Astra OPC 2.0 Turbo - [2012],276,5500,295,2500,NA,1998,1,121.9,155,249,178,2012,2010s,Vauxhall-Opel,1.550561798,190.2536232
Ariel Atom Mugen - [2012],270,8300,188,6000,2.9,1998,1,121.9,150,241,490.9,2012,2010s,Ariel,0.550010185,341.8118519
Renault Megane RenaultSport 2.0T 265 - [2012],265,550,266,3000,NA,1998,1,121.9,158,254,191,2012,2010s,Renault,1.387434555,191.7207547
Renault Megane RenaultSport 2.0T 265 Cup - [2012],261,5500,266,3000,NA,1998,1,121.9,158,254,188.1,2012,2010s,Renault,1.387559809,191.7034483
Chevrolet Cobalt SS 2.0 Turbo - [2008],260,5300,260,2000,NA,1998,1,121.9,160,257,192.7,2008,2000s,Chevrolet,1.349247535,192.7
Toyota Celica GT Four ST205 - [1994],255,6000,224,4000,NA,1998,1,121.9,152,244,183.4,1994,1990s,Toyota,1.39040349,161.1043137
Westfield Sport 2000S - [2004],250,7500,192,6000,3.2,1998,1,121.9,148,238,454.5,2004,2000s,Westfield,0.550055006,349.056
Caterham Super 7 JPE - [1992],250,7750,186,6250,3.5,1998,1,121.9,146,234,463.8,1992,1990s,Caterham,0.539025442,345.0672
Nissan Silvia S15 Spec R - [1999],247,6400,203,4800,NA,1998,1,121.9,155,249,199.1,1999,1990s,Nissan,1.240582622,163.6327935
Toyota MR2 Mk2 Turbo Rev 3 - [1993],240,6000,224,4000,NA,1998,1,121.9,152,244,190.4,1993,1990s,Toyota,1.260504202,177.7066667
Mitsubishi Lancer GSR Ralliart Sportback SST - [2008],237,6000,253,2550,NA,1998,1,121.9,143,230,153.8,2008,2000s,Mitsubishi,1.540962289,164.1831224
Renault Megane 2.0 T Renaultsport Trophy 225 - [2002],225,5500,221,3000,NA,1998,1,121.9,147,236,166,2002,2000s,Renault,1.355421687,163.0488889
Lotus Europa SE 2.0 Turbo - [2008],222,5600,221,4000,NA,1998,1,121.9,146,234,223.1,2008,2000s,Lotus,0.995069476,222.095045
Renault Megane Renaultsport 230 F1 Team R26R - [2007],221,5500,229,3000,NA,1998,1,121.9,147,236,164.3,2007,2000s,Renault,1.345100426,170.2475113
Renault Megane Renaultsport 230 F1 Team R26 - [2007],221,5500,229,3000,NA,1998,1,121.9,147,236,164.3,2007,2000s,Renault,1.345100426,170.2475113
Nissan Sunny GTi R - [1992],220,6400,197,4800,NA,1998,1,121.9,134,215,173.3,1992,1990s,Nissan,1.269474899,155.1822727
Toyota MR2 Mk2 Turbo Rev 1 - [1990],220,6000,203,3200,NA,1998,1,121.9,140,225,176,1990,1990s,Toyota,1.25,162.4
Fiat Coupe 2.0 20V Turbo - [1996],219,5750,229,2500,NA,1998,1,121.9,155,249,167.1,1996,1990s,Fiat,1.31059246,174.730137
Honda Integra 2.0i VTEC Type R DC5 - [2001],217,8000,152,7000,NA,1998,1,121.9,140,225,173.6,2001,2000s,Honda,1.25,121.6
Honda Civic Type R JDM - [2001],212,8000,149,7000,NA,1998,1,121.9,146,234,176,2001,2000s,Honda,1.204545455,123.6981132
Honda Civic Type R JDM - [2004],212,8000,144,7000,NA,1998,1,121.9,152,244,176,2004,2000s,Honda,1.204545455,119.5471698
Subaru BRZ 2L 210ps - [2013],207,7000,151,6600,NA,1998,1,121.9,140,225,163.5,2013,2010s,Subaru,1.266055046,119.2681159
Subaru BRZ 2L 210ps Sportshift - [2013],207,7000,151,6600,NA,1998,1,121.9,130,209,160.5,2013,2010s,Subaru,1.289719626,117.0797101
Chevrolet Cobalt SS 2.0 Supercharged - [2006],205,5600,200,4400,NA,1998,1,121.9,NA,NA,151.8,2006,2000s,Chevrolet,1.350461133,148.097561
Vauxhall-Opel Calibra 2.0i 16v Turbo - [2002],201,5600,207,2400,NA,1998,1,121.9,152,244,143,2002,2000s,Vauxhall-Opel,1.405594406,147.2686567
Toyota Celica GT Four ST185 - [1989],201,6000,203,3200,NA,1998,1,121.9,140,225,132.2,1989,1980s,Toyota,1.520423601,133.5154229
Vauxhall-Opel Calibra 2.0 Turbo - [1992],201,5600,207,2400,NA,1998,1,121.9,152,244,143,1992,1990s,Vauxhall-Opel,1.405594406,147.2686567
Honda Civic 2.0i VTEC GT Type R - [2007],200,7800,142,5600,NA,1998,1,121.9,146,234,153.7,2007,2000s,Honda,1.301236174,109.127
Renault Clio 2.0 RenaultSport III 200 Cup - [2009],200,7100,159,5400,NA,1998,1,121.9,141,226,166.1,2009,2000s,Renault,1.204093919,132.0495
Honda Civic 2.0i VTEC Type R - [2011],198,7800,142,5600,NA,1998,1,121.9,146,234,150,2011,2010s,Honda,1.32,107.5757576
Honda Civic 2.0 VTEC Type R - [2004],197,7400,144,5900,NA,1998,1,121.9,146,234,163.6,2004,2000s,Honda,1.204156479,119.5857868
Honda Civic 2.0 VTEC Type R EDM - [2001],197,7400,144,5900,NA,1998,1,121.9,146,234,163.6,2001,2000s,Honda,1.204156479,119.5857868
Lotus Europa S 2.0 Turbo - [2006],197,5400,200,5000,NA,1998,1,121.9,143,230,197.9,2006,2000s,Lotus,0.995452249,200.9137056
Mitsubishi FTO 2.0 GPX - [2000],197,7100,147,6000,NA,1998,1,121.9,140,225,175.8,2000,2000s,Mitsubishi,1.120591581,131.1807107
Nissan 200SX S14a 2.0T - [1996],197,6400,195,4800,NA,1998,1,121.9,142,228,155.4,1996,1990s,Nissan,1.267696268,153.822335
Skoda Octavia 2.0 FSI vRS - [2005],197,5100,207,1800,NA,1998,1,121.9,149,239,134,2005,2000s,Skoda,1.470149254,140.8020305
Vauxhall-Opel VX220 2.0T - [2003],197,5500,184,1950,NA,1998,1,121.9,151,243,211.8,2003,2000s,Vauxhall-Opel,0.930122757,197.8233503
Subaru BRZ 2L - [2012],197,7000,151,6400,NA,1998,1,121.9,143,230,157.2,2012,2010s,Subaru,1.253180662,120.493401
Vauxhall-Opel Astra GTC 2.0 Turbo - [2005],197,5400,193,4200,NA,1998,1,121.9,145,233,144.3,2005,2000s,Vauxhall-Opel,1.365211365,141.3700508
Toyota GT 86 2.0L Coupe - [2011],197,7000,151,6600,NA,1998,1,121.9,140,225,162.8,2011,2010s,Toyota,1.21007371,124.7857868
Peugeot 405 T16 2.0 Turbo - [1993],197,5000,217,2600,NA,1998,1,121.9,140,225,147,1993,1990s,Peugeot,1.340136054,161.9238579
Renault Clio 2.0 16V 197bhp - [2006],194,7250,159,5550,NA,1998,1,121.9,134,215,156.4,2006,2000s,Renault,1.240409207,128.1835052
Vauxhall-Opel Astra Coupe Turbo - [2000],190,5400,184,1950,NA,1998,1,121.9,152,244,141.2,2000,2000s,Vauxhall-Opel,1.345609065,136.7410526
Toyota Celica GT Four ST165 - [1986],185,6000,177,4000,NA,1998,1,121.9,137,220,137,1986,1980s,Toyota,1.350364964,131.0756757
Renault Clio 2.0 16V 182 Cup - [2004],180,6500,148,5250,NA,1998,1,121.9,139,223,168.2,2004,2000s,Renault,1.070154578,138.2977778
Renault Clio 2.0 16V Renaultsport Trophy 182 - [2004],180,6500,148,5250,NA,1998,1,121.9,138,222,165.1,2004,2000s,Renault,1.090248334,135.7488889
Renault Clio 2.0 16V 172 Cup - [2000],170,6250,147,5400,NA,1998,1,121.9,138,222,160.5,2000,2000s,Renault,1.059190031,138.7852941
Toyota MR2 GT Mk2 Rev 1 - [1990],168,6600,140,4800,NA,1998,1,121.9,137,220,138.8,1990,1990s,Toyota,1.21037464,115.6666667
Vauxhall-Opel Astra 2.0 Turbo SRI - [2005],168,5200,184,1950,NA,1998,1,121.9,135,217,126.9,2005,2000s,Vauxhall-Opel,1.323877069,138.9857143
Peugeot 306 GTi 6 - [1996],167,6500,145,5500,NA,1998,1,121.9,130,209,137.5,1996,1990s,Peugeot,1.214545455,119.3862275
Peugeot 306 2.0 Rallye - [1998],167,6500,145,5500,NA,1998,1,121.9,130,209,137.5,1998,1990s,Peugeot,1.214545455,119.3862275
Honda Civic 2.0i VTEC Type S - [2000],157,6300,132,4300,NA,1998,1,121.9,131,210,125.8,2000,2000s,Honda,1.248012719,105.7681529
Fiat Bravo 2.0 20V 155 HGT - [1997],152,6500,137,3750,NA,1998,1,121.9,132,212,127.7,1997,1990s,Fiat,1.190289742,115.0980263
Ford Escort RS 2000 4x4 MK5 - [1991],150,6000,140,4500,NA,1998,1,121.9,129,207,139.2,1991,1990s,Ford,1.077586207,129.92
Renault Clio 2.0 16V Williams - [1993],150,6100,126,4500,NA,1998,1,121.9,134,215,148.5,1993,1990s,Renault,1.01010101,124.74
Vauxhall-Opel Kadett 2.0 16V GSi - [1988],150,6000,144,4800,NA,1998,1,121.9,132,212,148.9,1988,1980s,Vauxhall-Opel,1.007387508,142.944
Toyota 2000 GT 2.0L Coupe - [1968],148,6600,129,5000,NA,1998,1,121.9,137,220,131.5,1968,1960s,Toyota,1.125475285,114.6182432
Nissan Skyline Hardtop 2000 Turbo GT-E - [1980],143,5600,152,3200,NA,1998,1,121.9,112,180,118.1,1980,1980s,Nissan,1.210838273,125.5328671
Peugeot 306 2.0 XSi - [1997],135,5500,133,4200,NA,1998,1,121.9,125,201,119,1997,1990s,Peugeot,1.134453782,117.237037
Vauxhall-Opel Astra GSi 2.0 16v - [1997],134,5600,139,3200,NA,1998,1,121.9,129,207,117,1997,1990s,Vauxhall-Opel,1.145299145,121.3656716
Triumph Dolomite Sprint - [1973],127,5200,122,4500,NA,1998,1,121.9,116,186,128.1,1973,1970s,Triumph,0.991412959,123.0566929
Triumph TR7 2.0 8V - [1975],105,5500,119,3500,NA,1998,1,121.9,109,175,105,1975,1970s,Triumph,1,119
Caterham 7 620 R 2.0 L Supercharged - [2013],311,7700,219,7350,2.8,1999,1,121.9,155,249,570.6,2013,2010s,Caterham,0.545040308,401.8051447
Caterham 7 Superlight R500 - [2009],263,8500,177,7200,2.9,1999,1,121.9,150,241,519.7,2009,2000s,Caterham,0.506061189,349.760076
Ford Focus 2.0 ST-3 - [2011],250,3000,251,1750,NA,1999,1,121.9,154,247,183.5,2011,2010s,Ford,1.36239782,184.234
Mastretta MXT 2.0 Turbo - [2010],247,5200,250,3950,NA,1999,1,121.9,149,239,265.5,2010,2010s,Mastretta,0.930320151,268.7246964
Ford Focus Wagon ST - [2011],247,5500,251,1750,NA,1999,1,121.9,154,247,178.2,2011,2010s,Ford,1.386083053,181.08583
Land-Rover Evoque 2.0 Si4 - [2010],237,6000,251,1750,NA,1999,1,121.9,135,217,144.5,2010,2010s,Land-Rover,1.640138408,153.035865
Caterham 7 485 2.0L - [2013],237,8500,152,6300,3.3,1999,1,121.9,140,225,451.4,2013,2010s,Caterham,0.52503323,289.5054852
Subaru Impreza RB5 - Classic - [1999],214,6000,230,3500,NA,1999,1,121.9,143,230,173.2,1999,1990s,Subaru,1.23556582,186.1495327
Caterham 7 Superlight R400 - [2006],210,7800,152,5750,3.8,1999,1,121.9,140,225,400,2006,2000s,Caterham,0.525,289.5238095
Ford Fiesta ST185 - [2009],185,6700,147,3500,NA,1999,1,121.9,129,207,162.7,2009,2000s,Ford,1.137062077,129.2805405
Ginetta G40 R 2.0L - [2011],173,6700,141,5000,NA,1999,1,121.9,140,225,217.6,2011,2010s,Ginetta,0.795036765,177.350289
Mazda MX5 2.0i Roadster Coupe - [2009],158,6700,139,5000,NA,1999,1,121.9,132,212,135.6,2009,2000s,Mazda,1.16519174,119.2936709
Ford Fiesta ST - [2005],148,6000,140,4500,NA,1999,1,121.9,129,207,130.1,2005,2000s,Ford,1.137586472,123.0675676
Ford Granada 2.1 Diesel - [1977],63,4500,89,2000,NA,2112,2,128.8,78,125,49.4,1977,1970s,Ford,1.275303644,69.78730159
Audi Quattro Sport 2.2 T - [1984],306,6700,258,3700,NA,2134,2,130.2,154,247,240.3,1984,1980s,Audi,1.27340824,202.6058824
Triumph TR4 2.1L - [1961],100,4600,127,3350,NA,2138,2,130.4,103,165,103.5,1961,1960s,Triumph,0.966183575,131.445
Audi Quattro UR-Quattro - [1980],200,5500,210,3500,NA,2144,2,130.8,138,222,155,1980,1980s,Audi,1.290322581,162.75
Audi 200 2.1 Turbo Quattro - [1985],179,5700,186,3600,NA,2144,2,130.8,143,230,126.9,1985,1980s,Audi,1.410559496,131.8625698
Peugeot 505 2.2 GTi Turbo - [1979],150,5200,171,3000,NA,2155,2,131.5,124,199,112.7,1979,1970s,Peugeot,1.330967169,128.478
Honda S2000 2.2i - [2004],240,8300,153,7500,NA,2157,2,131.6,149,239,186.6,2004,2000s,Honda,1.286173633,118.9575
Honda S2000 2.2 Type S - [2007],239,7800,163,6500,NA,2157,2,131.6,149,239,189.6,2007,2000s,Honda,1.260548523,129.3087866
Honda Accord 2.2 16V Type R - [1999],209,7200,158,6700,NA,2157,2,131.6,142,228,160,1999,1990s,Honda,1.30625,120.9569378
Lotus Esprit S3 Turbo SE - [1989],264,6500,260,3900,NA,2174,2,132.6,159,255,198.6,1989,1980s,Lotus,1.329305136,195.5909091
Lotus Esprit S2.2 Turbo - [1980],210,6500,200,4500,NA,2174,2,132.6,152,244,172.2,1980,1980s,Lotus,1.219512195,164
Lotus Excel SA 2.2 16v - [1986],180,6500,165,5000,NA,2174,2,132.6,124,199,152.9,1986,1980s,Lotus,1.177240026,140.1583333
Lotus Excel SE 2.2 16v - [1985],180,6500,165,5000,NA,2174,2,132.6,135,217,153.7,1985,1980s,Lotus,1.171112557,140.8916667
Lotus Esprit S3 2.0L - [1981],160,6500,160,5250,NA,2174,2,132.6,135,217,149.9,1981,1980s,Lotus,1.067378252,149.9
Citroen C5 2.2 HDi 16v - [2001],131,4000,232,2000,NA,2197,2,134,127,204,83.8,2001,2000s,Citroen,1.563245823,148.4091603
Vauxhall-Opel Astra 2.2 16V - [2003],144,5800,150,4000,NA,2198,2,134.1,133,214,111.1,2003,2000s,Vauxhall-Opel,1.296129613,115.7291667
Subaru Impreza WRX STI - Classic 22B - [1998],276,6500,268,4000,NA,2212,2,134.9,154,247,217.3,1998,1990s,Subaru,1.270133456,211.0014493
Audi Coupe S2 2.2T Quattro - [1993],230,5900,257,1950,NA,2226,2,135.8,150,241,155.9,1993,1990s,Audi,1.475304682,174.2013043
Audi Coupe S2 2.2T Quattro - [1991],220,5500,228,1750,NA,2226,2,135.8,148,238,149.1,1991,1990s,Audi,1.475519785,154.5218182
Audi Quattro 2.2T - [1990],220,5900,228,1950,NA,2226,2,135.8,143,230,112.8,1990,1990s,Audi,1.95035461,116.9018182
Audi 200 2.2T 20v Quattro - [1989],216,5700,228,1950,NA,2226,2,135.8,150,241,142.1,1989,1980s,Audi,1.520056298,149.9944444
Audi 100 2.2 Turbo Quattro - [1986],165,5500,177,3000,NA,2226,2,135.8,134,215,113.7,1986,1980s,Audi,1.451187335,121.9690909
Oldsmobile Cutlass Calais HO Quad 4 - [1989],180,6200,160,5200,NA,2260,2,137.9,125,201,144.8,1989,1980s,Oldsmobile,1.243093923,128.7111111
BAC Mono 280bhp - [2011],280,7700,207,6000,2.8,2261,2,137.9,170,273,518.5,2011,2010s,BAC,0.540019286,383.3196429
Mazda 3 2.3 Mazdaspeed - [2011],263,5500,280,3000,NA,2261,2,137.9,155,249,176.7,2011,2010s,Mazda,1.488398415,188.121673
Caterham 7 CSR 260 - [2005],260,7500,200,6000,3.9,2261,2,137.9,155,249,452.1,2005,2000s,Caterham,0.575094006,347.7692308
Mazda 3 MPS 2.3T - [2007],256,5500,280,3000,NA,2261,2,137.9,155,249,172.6,2007,2000s,Mazda,1.483198146,188.78125
Mazda 6 MPS 2.3T - [2007],256,5500,280,3000,NA,2261,2,137.9,149,239,153.7,2007,2000s,Mazda,1.665582303,168.109375
Mazda 6 Sport MZR 2.3i - [2001],163,6500,153,4000,NA,2261,2,137.9,131,210,115.1,2001,2000s,Mazda,1.416159861,108.0386503
Ford Zephyr 2.2 12v - [1950],68,4000,112,2000,NA,2262,2,138,81,130,55.6,1950,1950s,Ford,1.223021583,91.57647059
Vauxhall-Opel Chevette 2300 HS - [1978],135,5500,134,4500,NA,2279,2,139,115,185,133.1,1978,1970s,Vauxhall-Opel,1.014274981,132.1140741
Vauxhall-Opel Firenza Droop Snoot 2.3 Litre - [1973],131,5500,144,3500,NA,2279,2,139,114,183,125.9,1973,1970s,Vauxhall-Opel,1.04050834,138.3938931
Chevrolet Vega 2300 GT 4 Speed - [1971],93,4800,121,2800,NA,2287,2,139.5,108,173,91.1,1971,1970s,Chevrolet,1.020856202,118.527957
Saab 9-3 Viggen 2.3L Turbo - [2001],230,5500,258,2500,NA,2290,2,139.7,160,257,159.9,2001,2000s,Saab,1.438398999,179.366087
Mazda RX7 SA22C - [1978],105,6000,106,4000,NA,2292,2,139.8,115,185,102.5,1978,1970s,Mazda,1.024390244,103.4761905
Ford Cortina MKV 2.3 Ghia - [1977],108,5000,130,3000,NA,2294,2,139.9,109,175,95.7,1977,1970s,Ford,1.128526646,115.1944444
Mercedes 190 Series E 2.3-16 - [1987],175,5800,170,4750,NA,2299,2,140.2,142,228,142.2,1987,1980s,Mercedes,1.230661041,138.1371429
Mercedes 230 CE - [1981],134,5100,151,3500,NA,2299,2,140.2,112,180,97.1,1981,1980s,Mercedes,1.380020597,109.4186567
Ford Thunderbird 2.3 Turbo 9th Gen - [1987],145,4600,180,3600,NA,2301,2,140.4,138,222,106.6,1987,1980s,Ford,1.360225141,132.3310345
Mercury Zephyr Z-7 Sports Coupe - [1978],89,4600,119,2600,NA,2301,2,140.4,93,149,71.4,1978,1970s,Mercury,1.246498599,95.46741573
BMW 3 Series M3 Evolution E30 - [1988],220,6750,181,4750,NA,2302,2,140.4,147,236,183.3,1988,1980s,BMW,1.200218221,150.8059091
BMW 3 Series M3 E30 - [1986],197,6750,170,4750,NA,2302,2,140.4,146,234,169,1986,1980s,BMW,1.165680473,145.8375635
Mercedes SL Class 230SL W113 - [1963],148,5500,145,4200,NA,2308,2,140.8,124,199,114.2,1963,1960s,Mercedes,1.295971979,111.8851351
Audi 80 2.3 20v Quattro - [1989],168,6000,162,4500,NA,2309,2,140.9,140,225,131.7,1989,1980s,Audi,1.275626424,126.9964286
Volvo 940 2.3 Turbo - [1990],190,3000,206,2800,NA,2316,2,141.3,127,204,135,1990,1990s,Volvo,1.407407407,146.3684211
Volvo 242 GT 2.3 - [1979],138,5750,141,4500,NA,2316,2,141.3,113,181,104.5,1979,1970s,Volvo,1.320574163,106.7717391
Volvo 850 2.3 T5 R - [1995],243,5600,300,2000,NA,2319,2,141.5,144,231,171.1,1995,1990s,Volvo,1.420222092,211.2345679
Volkswagen(VW) Golf 2.3 V5 - [2001],170,6200,166,3200,NA,2324,2,141.8,139,223,132.3,2001,2000s,Volkswagen(VW),1.284958428,129.1870588
Ferrari 195 Inter - [1950],130,6000,114,5000,NA,2341,2,142.8,111,178,136.8,1950,1950s,Ferrari,0.950292398,119.9630769
Pontiac Solstice Coupe 2.4 16V - [2006],177,6600,166,4800,NA,2384,2,145.4,120,193,136.1,2006,2000s,Pontiac,1.300514328,127.6418079
Alfa-Romeo Brera 2.4 JTDm - [2006],197,4000,295,2000,NA,2387,2,145.6,142,228,123.1,2006,2000s,Alfa-Romeo,1.600324939,184.3375635
Alfa-Romeo 156 2.4 JTD - [2003],172,4000,284,2000,NA,2387,2,145.6,134,215,127.4,2003,2000s,Alfa-Romeo,1.350078493,210.3581395
Datsun 240 Z Coupe - [1969],161,5600,146,4400,NA,2393,2,146,125,201,157,1969,1960s,Datsun,1.025477707,142.3726708
Caterham 7 RST-V8 Levante - [2008],500,10000,300,8500,2.9,2400,2,146.4,150,241,961.5,2008,2000s,Caterham,0.520020801,576.9
Volvo S60 T5 2.4 Turbo - [2000],250,5200,246,2400,NA,2401,2,146.5,155,249,156.2,2000,2000s,Volvo,1.600512164,153.7008
Caparo T1 2.4 V8 - [2006],480,10500,311,9000,2.5,2408,2,146.9,200,321,1021.2,2006,2000s,Caparo,0.470035253,661.6525
Ferrari 246 Dino GT - [1969],195,7600,166,5500,NA,2419,2,147.6,146,234,180.5,1969,1960s,Ferrari,1.08033241,153.6564103
Lancia Stratos 2.5 V6 - [1974],187,7000,166,4000,NA,2419,2,147.6,143,230,190.8,1974,1970s,Lancia,0.980083857,169.373262
Dodge Neon 2.4 SRT-4 - [2002],215,5200,245,3200,NA,2429,2,148.2,153,246,33.8,2002,2000s,Dodge,6.360946746,38.51627907
Fiat Stilo Abarth 2.4 20v - [2001],168,6000,163,3500,NA,2446,2,149.2,132,212,127.2,2001,2000s,Fiat,1.320754717,123.4142857
Subaru Impreza STI CS 400 - Cosworth - Hatch - [2010],395,5750,400,3950,3.7,2457,2,149.9,155,249,262.4,2010,2010s,Subaru,1.505335366,265.721519
Subaru Impreza WRX STI 330S - Hatch - [2008],325,5400,347,340,4.6,2457,2,149.9,155,249,215.9,2008,2000s,Subaru,1.50532654,230.5147692
Subaru Impreza RB320 - Hawkeye - [2007],316,6000,332,3750,NA,2457,2,149.9,158,254,211.3,2007,2000s,Subaru,1.495504023,221.9987342
Subaru Impreza WRX STI 320R - Saloon - [2011],316,6000,332,3400,NA,2457,2,149.9,158,254,209.9,2011,2010s,Subaru,1.505478799,220.5278481
Subaru Impreza WRX STI Type UK - Hawkeye - [2006],276,6000,289,4000,NA,2457,2,149.9,158,254,184.6,2006,2000s,Subaru,1.495124594,193.2949275
Subaru Forester STi 2.5L Turbo - [2006],261,5600,279,3600,NA,2457,2,149.9,140,225,174,2006,2000s,Subaru,1.5,186
Subaru Forester STi (tS) 2.5L Turbo - [2012],259,6000,256,2800,NA,2457,2,149.9,142,228,168.1,2012,2010s,Subaru,1.540749554,166.1528958
Subaru Impreza WRX S - [2008],251,5400,288,3000,NA,2457,2,149.9,130,209,179.9,2008,2000s,Subaru,1.395219566,206.4191235
Subaru Impreza WRX - Hatch - [2008],224,5200,226,2800,NA,2457,2,149.9,130,209,147.9,2008,2000s,Subaru,1.514536849,149.2205357
Alpine GTA V6 Turbo - [1985],197,5750,210,2500,NA,2458,2,149.9,155,249,166.9,1985,1980s,Alpine,1.180347513,177.9137056
Renault 25 2.5 V6 Turbo - [1985],182,5500,207,3000,NA,2458,2,149.9,137,220,135.8,1985,1980s,Renault,1.340206186,154.4538462
Lancia Flaminia Coupe 3 B 2.5 GT - [1963],125,5600,135,3500,NA,2458,2,149.9,111,178,82.2,1963,1960s,Lancia,1.520681265,88.776
Lamborghini Urraco 2.5L V8 P250 - [1972],220,7500,166,5750,NA,2463,2,150.3,147,236,176.7,1972,1970s,Lamborghini,1.245048104,133.3281818
Porsche 944 Turbo - [1989],250,6000,259,4000,NA,2479,2,151.2,162,260,176.5,1989,1980s,Porsche,1.416430595,182.854
Porsche 944 Turbo Cabriolet - [1991],247,6000,258,4000,NA,2479,2,151.2,162,260,176.4,1991,1990s,Porsche,1.400226757,184.2558704
Porsche 944 Turbo - [1984],217,5800,243,3500,NA,2479,2,151.2,152,244,169.5,1984,1980s,Porsche,1.280235988,189.8087558
Audi TT RS+ 2.5 Turbo - [2012],355,5500,343,1650,4.3,2480,2,151.3,174,280,232.7,2012,2010s,Audi,1.525569403,224.8340845
Audi A3 RS3 Sportback 2.5 Turbo - [2010],335,5400,332,1600,4.6,2480,2,151.3,155,249,203,2010,2010s,Audi,1.650246305,201.1820896
Porsche Boxster 2.5 Roadster - [1996],204,6000,181,4500,NA,2480,2,151.3,155,249,164.2,1996,1990s,Porsche,1.242387333,145.6872549
Vauxhall-Opel Vectra 2.5 V6 GSi - [2000],192,5800,180,3200,NA,2490,2,151.9,148,238,139.2,2000,2000s,Vauxhall-Opel,1.379310345,130.5
Maserati 425 2.5L V6 BiTurbo Saloon - [1984],196,5600,205,4000,NA,2491,2,152,134,215,166.1,1984,1980s,Maserati,1.180012041,173.7270408
Toyota Mark II 2.5 Tourer V - [1998],276,6200,279,2400,NA,2492,2,152,145,233,186.4,1998,1990s,Toyota,1.480686695,188.426087
Alfa-Romeo 156 2.5 V6 - [1997],192,6300,161,5000,NA,2492,2,152,143,230,145.4,1997,1990s,Alfa-Romeo,1.320495186,121.9239583
Alfa-Romeo GTV 6 2.5 - [1981],158,5600,157,4000,NA,2492,2,152,132,212,130.5,1981,1980s,Alfa-Romeo,1.210727969,129.6740506
Alfa-Romeo 90 2.5 V6 Gold Cloverleaf - [1985],154,5600,155,4000,NA,2492,2,152,126,202,131.6,1985,1980s,Alfa-Romeo,1.170212766,132.4545455
BMW 3 Series 325i Sport Manual E30 - [1986],171,5800,167,4000,NA,2494,2,152.1,138,222,141.4,1986,1980s,BMW,1.209335219,138.0923977
Ford Mondeo ST200 - [1999],202,6500,173,5500,NA,2495,2,152.2,145,233,143.2,1999,1990s,Ford,1.410614525,122.6415842
Mercedes 200 W114 Sedan Serie 1 - [1967],146,5600,162,3800,NA,2496,2,152.3,112,180,107.3,1967,1960s,Mercedes,1.360671016,119.0589041
Volvo S60 T5 2.5 Turbo - [2013],251,5400,266,1800,NA,2497,2,152.3,152,244,152.1,2013,2010s,Volvo,1.650230112,161.1896414
Volvo V40 T5 2.5 Turbo - [2012],250,5400,295,1800,NA,2497,2,152.3,155,249,166.8,2012,2010s,Volvo,1.498800959,196.824
MG ZT 2.5 V6 190 - [2001],187,6500,180,4000,NA,2497,2,152.3,141,226,125.9,2001,2000s,MG,1.485305798,121.1871658
Mitsubishi Galant VR4 Type S - [2000],268,4000,276,5500,NA,2498,2,152.4,150,241,176.3,2000,2000s,Mitsubishi,1.520136132,181.5626866
Nissan Skyline R33 GTS25t Coupe - [1993],247,6400,217,4800,NA,2498,2,152.4,143,230,181.6,1993,1990s,Nissan,1.360132159,159.5433198
Mercedes 190 Series E 2.5 16 - [1989],197,6750,177,5500,NA,2498,2,152.4,142,228,144.8,1989,1980s,Mercedes,1.360497238,130.0994924
Triumph TR6 2.5L - [1969],150,5500,164,3500,NA,2498,2,152.4,119,191,132.7,1969,1960s,Triumph,1.130369254,145.0853333
Triumph TR5 2.5L - [1967],150,5500,164,3500,NA,2498,2,152.4,120,193,145.6,1967,1960s,Triumph,1.03021978,159.1893333
Marcos Mantis 2.5l Coupe - [1970],150,5500,158,3000,NA,2498,2,152.4,120,193,103.4,1970,1970s,Marcos,1.450676983,108.9146667
