car_full_nm,horsepower_bhp,rpm_horsepower_measure_point,torque_lb_ft,rpm_torque_measure_point,car_0_60_time_seconds,engine_size_cc,engine_size_cat,engine_size_ci,top_speed_mph,top_speed_kph,horsepower_per_ton_bhp,year,decade,make_nm,car_weight_tons,torque_per_ton
Alfa-Romeo 33 1.7 Boxer Cloverleaf - [1990],137,3500,116,4600,NA,1712,1,104.4,129,207,135.6,1990,1990s,Alfa-Romeo,1.010324484,114.8145985
Alfa-Romeo 4C 1.8 Turbo - [2013],240,6000,258,2100,4.4,1742,1,106.3,155,249,268.1,2013,2010s,Alfa-Romeo,0.895188363,288.2075
Alfa-Romeo Giulietta 235 Cloverleaf - [2010],235,5500,251,1900,NA,1742,1,106.3,150,241,178,2010,2010s,Alfa-Romeo,1.320224719,190.1191489
Fiat Barchetta 1.8 16V - [1995],130,6300,117,4300,NA,1747,1,106.6,124,199,122.6,1995,1990s,Fiat,1.060358891,110.34
Fiat 124 Abarth Rallye - [1972],128,6200,117,5200,NA,1756,1,107.1,118,189,136.3,1972,1970s,Fiat,0.939104916,124.5867188
Renault 19 1.8 16V - [1991],137,0,119,0,NA,1763,1,107.5,134,215,128,1991,1990s,Renault,1.0703125,111.1824818
Peugeot 205 T16 1.8 16v Turbo - [1984],197,6750,188,4000,NA,1775,1,108.3,129,207,141.7,1984,1980s,Peugeot,1.390261115,135.2263959
Volvo P 1800S - [1967],108,5800,110,4000,NA,1780,1,108.6,109,175,96.5,1967,1960s,Volvo,1.119170984,98.28703704
Audi A3 S3 1.8T Quattro - [2002],225,2800,207,2100,NA,1781,1,108.6,151,243,158.4,2002,2000s,Audi,1.420454545,145.728
Audi TT 1.8T 225 - [1999],221,5900,207,2200,NA,1781,1,108.6,151,243,150.8,1999,1990s,Audi,1.465517241,141.2470588
Seat Leon 1.8 20vt Cupra R 225 - [2003],221,5900,206,2200,NA,1781,1,108.6,150,241,160.6,2003,2000s,Seat,1.376089664,149.6995475
Audi A3 S3 1.8T Quattro - [1999],210,2800,199,2100,NA,1781,1,108.6,145,233,152.7,1999,1990s,Audi,1.37524558,144.7014286
Seat Leon 1.8 20vt Cupra R 210 - [2006],210,5800,199,5000,NA,1781,1,108.6,141,226,157.7,2006,2000s,Seat,1.331642359,149.4395238
Seat Ibiza 1.8 Cupra R 20vt - [2001],207,5800,199,2100,NA,1781,1,108.6,147,236,184.9,2001,2000s,Seat,1.119524067,177.7541063
Audi TT S 1.8T - [1995],207,6000,185,2100,NA,1781,1,108.6,149,239,166.9,1995,1990s,Audi,1.240263631,149.1618357
Audi TT 1.8T 180 - [1998],181,5500,173,1950,NA,1781,1,108.6,134,215,127.5,1998,1990s,Audi,1.419607843,121.8646409
Skoda Octavia 1.8t vRS - [2001],180,0,173,0,NA,1781,1,108.6,146,234,130.9,2001,2000s,Skoda,1.375095493,125.8094444
Seat Leon 1.8 20vt Cupra - [2000],178,5500,173,5000,NA,1781,1,108.6,142,228,134.6,2000,2000s,Seat,1.32243685,130.8191011
Seat Ibiza Cupra 1.8 20v Turbo - [2007],178,5800,181,2000,NA,1781,1,108.6,143,230,151.2,2007,2000s,Seat,1.177248677,153.7483146
Seat Ibiza Cupra 1.8 20VT - [2004],178,5800,181,2000,NA,1781,1,108.6,142,228,151.2,2004,2000s,Seat,1.177248677,153.7483146
Seat Leon Sport FR 1.8 20VT 180 - [2002],177,5500,173,4500,NA,1781,1,108.6,142,228,137.3,2002,2000s,Seat,1.289147851,134.1971751
Volkswagen(VW) Golf G60 Supercharged - [1990],160,5600,166,4000,NA,1781,1,108.6,134,215,148.5,1990,1990s,Volkswagen(VW),1.077441077,154.06875
Volkswagen(VW) Corrado G60 - [1988],158,5800,166,4000,NA,1781,1,108.6,139,223,141.7,1988,1980s,Volkswagen(VW),1.115031757,148.8746835
Seat Ibiza 1.8 20vt FR - [2004],150,5500,162,2000,NA,1781,1,108.6,135,217,129.9,2004,2000s,Seat,1.154734411,140.292
Seat Ibiza 1.8 20vt FR - [2007],150,5500,162,2000,NA,1781,1,108.6,134,215,129.9,2007,2000s,Seat,1.154734411,140.292
Volkswagen(VW) Passat 1.8 20V Turbo - [1999],150,5700,154,1750,NA,1781,1,108.6,138,222,111.2,1999,1990s,Volkswagen(VW),1.348920863,114.1653333
Volkswagen(VW) Polo 1.8T GTi - [2006],148,5800,162,1950,NA,1781,1,108.6,132,212,115.3,2006,2000s,Volkswagen(VW),1.283607979,126.2067568
Volkswagen(VW) Golf 1.8 16v GTi - [1988],139,6100,124,4600,NA,1781,1,108.6,124,199,125.1,1988,1980s,Volkswagen(VW),1.111111111,111.6
Volkswagen(VW) Jetta GTi 1.8 16v - [1988],136,6100,119,4600,NA,1781,1,108.6,125,201,143.1,1988,1980s,Volkswagen(VW),0.950384347,125.2125
Volkswagen(VW) Golf 1.8 8v GTi - [1982],112,5800,109,3500,NA,1781,1,108.6,112,180,133.3,1982,1980s,Volkswagen(VW),0.840210053,129.7294643
Audi 80 GT 1.8 - [1975],112,5800,118,3500,NA,1781,1,108.6,116,186,119.7,1975,1970s,Audi,0.935672515,126.1125
Toyota Corolla TS Compressor 2.0L - [2005],215,8000,158,4000,NA,1794,1,109.4,143,230,163.4,2005,2000s,Toyota,1.315789474,120.08
Toyota Celica 1.8 VVTi T-Sport 190 - [2003],189,7600,133,6800,NA,1794,1,109.4,140,225,155.5,2003,2000s,Toyota,1.215434084,109.4259259
Toyota MR2 1.8 VVTi - [2000],138,0,125,0,NA,1794,1,109.4,131,210,133.9,2000,2000s,Toyota,1.030619866,121.2862319
Lotus Elise S - [2006],134,6200,127,4200,NA,1794,1,109.4,127,204,155.8,2006,2000s,Lotus,0.860077022,147.661194
Lotus 2-Eleven 1.8 Supercharged - [2007],252,8000,178,7000,3.8,1796,1,109.5,156,251,338.2,2007,2000s,Lotus,0.74512123,238.8873016
Lotus Exige 240 R - [2005],243,8000,174,7000,3.9,1796,1,109.5,155,249,261.2,2005,2000s,Lotus,0.930321593,187.0320988
Caterham 7 Superlight R500 - [2000],230,8600,155,7200,3.4,1796,1,109.5,145,233,511.1,2000,2000s,Caterham,0.450009783,344.4369565
Lotus Exige S 1.8 Supercharged - [2006],218,7800,159,5500,4.1,1796,1,109.5,148,238,233.1,2006,2000s,Lotus,0.935220935,170.0133028
Lotus Elise SC 1.8 - [2007],217,8000,156,6000,4.4,1796,1,109.5,148,238,240.3,2007,2000s,Lotus,0.903037869,172.7502304
Caterham 7 Superlight R400 - [2003],200,7500,155,5750,3.9,1796,1,109.5,140,225,408.1,2003,2000s,Caterham,0.490075962,316.2775
Lotus 340 R - [2000],190,7800,146,5000,4.5,1796,1,109.5,126,202,288.7,2000,2000s,Lotus,0.658122619,221.8431579
Lotus Elise 1.8 S2 Sport 190 - [2003],190,7800,128,5000,4.7,1796,1,109.5,135,217,267.6,2003,2000s,Lotus,0.710014948,180.2778947
Lotus Elise 111R - [2004],189,7800,133,6800,NA,1796,1,109.5,143,230,219.7,2004,2000s,Lotus,0.860263996,154.6037037
Lotus Exige S2 1.8 - [2004],187,7800,133,6800,NA,1796,1,109.5,140,225,213.7,2004,2000s,Lotus,0.875058493,151.9898396
Caterham 7 Superlight R300 - [2003],160,7000,130,5000,4.7,1796,1,109.5,130,209,320,2003,2000s,Caterham,0.5,260
MG ZR 1.8i VVC 160 - [2001],158,7000,128,4500,NA,1796,1,109.5,131,210,144.9,2001,2000s,MG,1.090407177,117.3873418
MG F 1.8i VVC 160ps Trophy - [2001],157,7000,135,4500,NA,1796,1,109.5,137,220,146,2001,2000s,MG,1.075342466,125.5414013
Lotus Elise S2 1.8 111S - [2002],156,7000,129,4650,NA,1796,1,109.5,131,210,181.3,2002,2000s,Lotus,0.860452289,149.9211538
