car_full_nm,horsepower_bhp,rpm_horsepower_measure_point,torque_lb_ft,car_0_60_time_seconds,engine_size_cc,engine_size_cat,engine_size_ci,top_speed_mph,top_speed_kph,horsepower_per_ton_bhp,year,decade,make_nm,car_weight_tons,torque_per_ton
Subaru Impreza WRX STI V1 - Classic (JDM) Wagon - [1994],247,6500,228,4.6,1994,1,396.4,211,339,384.9,2007,2000s,Lamborghini,1.665367628,292.4279251
Mitsubishi Lancer Evo VIII MR FQ 400 - [2004],405,6400,350,3.4,1997,1,331.9,217,349,394.2,2009,2000s,Mercedes,1.626078133,372.0608424
Mitsubishi Lancer Evo IX FQ 360 - [2006],366,6887,363,3.9,1997,1,331.9,209,336,371.8,2006,2000s,Mercedes,1.724045186,350.9188768
Mitsubishi Lancer Evo VIII MR FQ 340 - [2003],345,6750,320,4.4,1997,1,254,223,358,436.6,2005,2000s,Gumpert,1.468163078,427.0642746
Mitsubishi Lancer Evo IX FQ 320 - [2005],326,6700,305,4.4,1997,1,331.9,208,334,366.2,2008,2000s,Mercedes,1.750409612,345.6333853
Mitsubishi Lancer Evo VI GSR - [2000],276,6500,275,4.4,1997,1,231.8,207,333,481.9,2014,2010s,McLaren,1.330151484,375.8970359
Mitsubishi Lancer Evo VI Tommi Makinen - [2000],276,6500,275,4.3,1997,1,231.8,207,333,457.8,2014,2010s,McLaren,1.400174749,357.0982839
Mitsubishi Lancer Evo V GSR - [1998],276,6500,275,4.7,1997,1,376,205,329,423,2007,2000s,Chevrolet,1.508274232,400.4576803
Mitsubishi Lancer Evo IV RS - [1996],276,6500,260,4.3,1997,1,376,205,329,416.9,2009,2000s,Chevrolet,1.530343008,395.9896552
Mitsubishi Lancer Evo III - [1995],266,6250,228,4.5,1997,1,396.4,211,339,378.9,2006,2000s,Lamborghini,1.665347057,292.4315372
Mitsubishi Lancer Evo X FQ 400 - [2009],403,6500,387,3.6,1998,1,370,240,386,550,1994,1990s,McLaren,1.14,421.0526316
Ariel Atom 300 Supercharged - [1999],300,8200,162,3.3,1998,1,366,206,331,269.8,2014,2010s,Bentley,2.320237213,260.7492013
Ariel Atom Mugen - [2012],270,8300,188,2.9,1998,1,301.4,215,346,488.2,2006,2000s,Ascari,1.280213027,322.60256
Westfield Sport 2000S - [2004],250,7500,192,3.2,1998,1,402.2,155,249,263.9,2013,2010s,Rolls-Royce,2.360742706,249.9213483
Caterham Super 7 JPE - [1992],250,7750,186,3.5,1998,1,378.8,196,315,401.2,2012,2010s,Mercedes,1.550348953,301.8675241
Caterham 7 620 R 2.0 L Supercharged - [2013],311,7700,219,2.8,1999,1,366,205,329,429.7,2004,2000s,Maserati,1.445194322,332.8272142
Caterham 7 Superlight R500 - [2009],263,8500,177,2.9,1999,1,366,204,328,270.5,2010,2010s,Bentley,2.295748614,256.9967794
Caterham 7 485 2.0L - [2013],237,8500,152,3.3,1999,1,366,204,328,277.2,2009,2000s,Bentley,2.24025974,263.3623188
Caterham 7 Superlight R400 - [2006],210,7800,152,3.8,1999,1,364.9,155,249,318.4,2012,2010s,Mercedes,1.950376884,378.3884058
BAC Mono 280bhp - [2011],280,7700,207,2.8,2261,1,364.9,155,249,269.4,2013,2010s,Mercedes,2.305122494,320.1565217
Caterham 7 CSR 260 - [2005],260,7500,200,3.9,2261,1,364.9,155,249,272.9,2010,2010s,Mercedes,2.275558813,324.315942
Caterham 7 RST-V8 Levante - [2008],500,10000,300,2.9,2400,1,331.9,208,334,381.3,2003,2000s,Mercedes,1.61814844,355.3444084
Caparo T1 2.4 V8 - [2006],480,10500,311,2.5,2408,1,331.9,206,331,338,2009,2000s,Mercedes,1.825443787,314.9918963
Subaru Impreza STI CS 400 - Cosworth - Hatch - [2010],395,5750,400,3.7,2457,1,364.1,206,331,396.9,2007,2000s,Chevrolet,1.552028219,374.9931818
Subaru Impreza WRX STI 330S - Hatch - [2008],325,5400,347,4.6,2457,1,366,205,329,265.5,2012,2010s,Bentley,2.320150659,254.2938312
Audi TT RS+ 2.5 Turbo - [2012],355,5500,343,4.3,2480,1,231.8,204,328,417.9,2012,2010s,McLaren,1.474036851,300.5352273
Audi A3 RS3 Sportback 2.5 Turbo - [2010],335,5400,332,4.6,2480,1,231.8,207,333,429.5,2012,2010s,McLaren,1.434225844,308.8774351
Nissan Skyline R34 GTR - [1999],276,6800,289,4.6,2569,1,366,202,325,246.8,2013,2010s,Bentley,2.495948136,236.3831169
Noble M12 GTO 2.6 V6 Turbo - [2001],310,6000,320,3.9,2595,1,364.9,155,249,283.9,2003,2000s,Mercedes,2.155688623,342.35
Mazda RX7 Type-R Bathurst - [2002],276,6500,232,4.7,2616,1,420.9,200,321,396.3,1998,1990s,Mercedes,1.544284633,367.8078431
Audi A4 RS4 Avant 2.7T Quattro V6 - [2000],376,7000,325,4.7,2671,1,366,205,329,361.9,2006,2000s,Ferrari,1.688311688,265.3538462
Porsche 959 Turbo - [1987],450,6500,369,3.7,2849,1,349.8,205,329,442.7,2003,2000s,Porsche,1.380167156,315.1792144
Ferrari F40 2.9 V8 - [1987],477,7000,426,3.8,2936,1,219.6,205,329,445.9,2010,2010s,Porsche,1.370262391,376.5702128
Noble M400 3.0 V6 - [2004],425,6500,390,3.5,2968,1,331.9,202,325,319.8,2005,2000s,Fisker,1.907442151,340.7704918
Noble M12 GTO 3R - [2003],352,6200,350,3.9,2968,1,364.9,155,249,284.9,2008,2000s,Mercedes,2.12004212,348.1062914
BMW 3 Series M3 F80 - [2013],425,5500,406,4.2,2979,1,364.9,155,249,286.2,2004,2000s,Mercedes,2.110412299,349.694702
BMW 4 Series M4 - [2013],425,5500,406,4.2,2979,1,366,200,321,242.2,2009,2000s,Bentley,2.485549133,222.4860465
Maserati Ghibli S Q4 3.0 V6 Turbo - [2013],404,5500,406,4.7,2979,1,366,200,321,243.2,2008,2000s,Bentley,2.475328947,223.4046512
Maserati Ghibli S 3.0 V6 Turbo - [2013],404,5500,406,4.7,2979,1,317.5,202,325,423.3,2014,2010s,Lamborghini,1.422159225,290.4034884
Porsche 968 3.0 Turbo S - [1993],301,5400,369,4.7,2990,2,362.3,200,321,375,2009,2000s,Aston-Martin,1.6,318.125
BMW 5 Series M550d xDrive F10 - [2013],375,4000,546,4.5,2993,2,325.9,200,321,304.5,1998,1990s,Aston-Martin,1.97044335,304.5
