car_full_nm,horsepower_bhp,rpm_horsepower_measure_point,torque_lb_ft,car_0_60_time_seconds,engine_size_cc,engine_size_cat,engine_size_ci,top_speed_mph,top_speed_kph,horsepower_per_ton_bhp,year,decade,make_nm,car_weight_tons,torque_per_ton
Audi A4 RS4 Avant 4.2 V8 - [2006],414,7800,317,4.6,4163,3,293.2,190,305,259.8,2013,2010s,Porsche,1.970746728,261.8296875
Audi A6 RS6 Avant 4.2 V8 Twin Turbo - [2002],444,5700,413,4.6,4172,3,243.6,155,249,247.9,2013,2010s,Audi,2.065348931,231.9220703
TVR Cerbera 4.2 - [1996],360,6500,320,4,4185,3,362.1,191,307,300.8,2007,2000s,Aston-Martin,1.695478723,247.7176471
TVR Griffith 4.3 - [1992],280,5500,305,4.1,4280,3,362.1,190,305,303.5,2012,2010s,Aston-Martin,1.680395387,249.9411765
Ferrari California 4.3 V8 - [2008],453,7750,358,3.9,4287,3,362.1,190,305,289.7,2012,2010s,Aston-Martin,1.760441836,238.5764706
Ferrari California 30 F1 4.3l V8 - [2012],483,7750,372,3.8,4297,3,362.1,183,294,285.7,2012,2010s,Aston-Martin,1.785089254,256.0096078
Ferrari 430 Scuderia - [2007],503,8500,347,3.5,4308,3,378.8,186,299,298.2,2011,2010s,Mercedes,1.710261569,267.2105882
Ferrari F430 4.3 V8 - [2004],483,8500,343,3.9,4308,3,350.7,202,325,293.6,2002,2000s,Ferrari,1.730245232,250.8314961
Ferrari F430 4.3 V8 Spider - [2005],483,8500,343,4.1,4308,3,213.4,220,354,325,1991,1990s,Jaguar,1.56,302.5641026
BMW 3 Series M3 E92 GTS - [2010],444,8300,325,4.3,4361,3,378.8,155,249,266.1,2006,2000s,Mercedes,1.90529876,244.056213
BMW 3 Series M3 CRT E90 - [2011],444,8300,325,4.3,4361,3,427.8,198,318,355.6,2006,2000s,Chevrolet,1.420134983,330.9544554
BMW 5 Series M5 Competition Pack F10 - [2013],567,6000,502,4.1,4395,3,336.4,155,249,231.1,2006,2000s,Mercedes,2.185201212,280.0657426
BMW 5 Series M5 F10 - [2011],552,6000,502,4.4,4395,3,262.8,198,318,372.5,2007,2000s,Ferrari,1.35033557,256.973161
BMW 6 Series M6 4.4 V8 F13 - [2012],552,6000,502,4.1,4395,3,305.1,155,249,265.9,2009,2000s,Jaguar,1.891688605,243.6976143
BMW 6 Series M6 Gran Coupe 4.4 V8 - [2012],552,6000,502,4.1,4395,3,305.1,155,249,286.9,2009,2000s,Jaguar,1.75322412,262.9441352
BMW 6 Series M6 Cabriolet 4.4 V8 - [2012],552,6000,502,4.2,4395,3,305.1,155,249,265.8,2009,2000s,Jaguar,1.892400301,243.6059642
BMW X5 M Sport 4.4 V8 - [2009],547,6000,502,4.7,4395,3,345.7,180,289,279,2002,2000s,Holden,1.799283154,253.9900398
BMW X6 M 4.4 V8 Turbo E71 - [2013],547,6000,502,4.5,4395,3,301.5,200,321,400,2003,2000s,Ascari,1.25,294.4
BMW 5 Series 550i GT xDrive F07 - [2013],444,5500,479,4.6,4395,3,362.1,186,299,285.7,2009,2000s,Audi,1.750087504,421.1218
BMW 5 Series 550i xDrive F10 - [2013],444,5500,479,4.3,4395,3,268.3,195,313,290.6,2006,2000s,BMW,1.720578114,299.8992
BMW Alpina B5 V8 Switchtronic E60 - [2006],500,0,516,4.7,4398,3,305,155,249,273.2,2004,2000s,BMW,1.830161054,209.8176
Noble M600 4.4L V8 - [2009],650,6800,604,3.5,4439,3,330,170,273,281.2,2006,2000s,Ford,1.778093883,269.952
TVR Cerbera 4.5 - [1997],420,6750,380,3.9,4475,3,305,193,310,362.3,2009,2000s,Wiesmann,1.380071764,277.5218
Ferrari 458 Speciale 4.5 V8 - [2013],597,9000,398,3,4497,3,384.3,155,249,243.3,2012,2010s,Audi,2.055076038,224.3226
Ferrari 458 4.5 V8 - [2009],562,9000,398,3.4,4499,3,236.9,188,302,217.8,2012,2010s,Bentley,2.295684114,212.1372
Ferrari 458 Spider 4.5 V8 - [2011],562,9000,398,3.3,4499,3,378.8,186,299,284,2007,2000s,Mercedes,1.76056338,264.12
Porsche 918 Spyder 4.6 V8 - [2013],600,8600,391,2.8,4593,3,505.5,190,305,323.4,2005,2000s,Dodge,1.546072975,339.57
Alfa-Romeo 8C Competitzione - [2008],450,7000,354,4.2,4691,3,378.8,174,280,289,2013,2010s,Mercedes,1.730103806,260.1
Alfa-Romeo 8C Competitzione Spider - [2008],444,7000,347,4.3,4691,3,378.8,174,280,278.5,2013,2010s,Mercedes,1.795332136,250.65
Alfa-Romeo Disco Volante 4.7 V8 - [2013],444,7000,347,4.1,4691,3,378.8,174,280,289,2013,2010s,Mercedes,1.730103806,260.1
Ferrari F50 GT1 4.7l V12 - [1996],750,10500,384,2.9,4698,3,505.5,195,313,328.2,2003,2000s,Dodge,1.523461304,344.61
Ferrari F50 4.7 V12 - [1995],520,8000,347,3.7,4698,3,146.4,150,241,961.5,2008,2000s,Caterham,0.520020801,576.9
Koenigsegg Agera 4.7L V8 - [2010],898,6850,811,3.1,4700,3,293.2,171,275,209.7,2007,2000s,Porsche,2.355746304,219.0388664
Koenigsegg CCR 4.7 V8 Supercharged - [2005],806,6900,678,3.8,4700,3,293.2,188,302,250.2,2009,2000s,Porsche,1.970423661,261.8726166
Koenigsegg CCX 4.7 V8 Supercharged - [2006],806,6900,678,3.2,4700,3,243.8,193,310,343.5,2011,2010s,Porsche,1.435225619,236.1997972
Aston-Martin Vantage V8 SP10 - [2013],430,7300,361,4.4,4735,3,231.8,194,312,309,2009,2000s,Porsche,1.595469256,300.2251521
Morgan Aeromax 4.8 V8 - [2008],362,6300,370,4.2,4799,3,331.9,155,249,258.5,2005,2000s,Fisker,1.907156673,270.5598377
Wiesmann GT MF4 - [2008],362,6300,361,4.6,4799,3,305.1,186,299,293,2012,2010s,Jaguar,1.66552901,276.7889344
Morgan Aero Coupe 4.8L V8 - [2011],362,6300,361,4.2,4799,3,334,199,320,282.6,1997,1990s,Ferrari,1.716206653,241.8123711
Koenigsegg CCX R Special Edition 4.8 V8 S - [2008],1004,7000,796,2.9,4800,3,262.8,196,315,336.5,2004,2000s,Ferrari,1.435364042,238.9637681
Lexus LFA Nurburgring - [2011],563,8700,354,3.7,4805,3,262.8,193,310,320.9,2005,2000s,Ferrari,1.505141789,227.8855072
Porsche Cayenne 4.8 V8 Turbo S - [2013],542,6000,553,4.3,4806,3,262.2,193,310,278.3,2012,2010s,Ferrari,1.73553719,214.3428571
Porsche Panamera 4.8 V8 Turbo S - [2011],542,6000,590,3.7,4806,3,146.9,200,321,1021.2,2006,2000s,Caparo,0.470035253,661.6525
Porsche Panamera Turbo 4.8 V8 - [2013],512,6000,516,4,4806,3,231.8,193,310,267,2009,2000s,Nissan,1.790262172,249.6841004
Porsche Cayenne 4.8 Turbo - [2007],494,6000,516,4.7,4806,3,179.1,201,323,433.6,1987,1980s,Ferrari,1.100092251,387.2402516
Porsche Panamera 4.8 V8 Turbo PDK - [2009],493,6000,516,4.2,4806,3,331.9,155,249,247.9,2006,2000s,Mercedes,1.920129084,268.7319328
Porsche Panamera GTS 4.8 V8 - [2013],434,6700,384,4.3,4806,3,219.6,198,318,334.5,2004,2000s,Porsche,1.420029895,321.8242105
Porsche Panamera GTS 4.8 V8 - [2011],424,6700,384,4.4,4806,3,183,170,273,863.6,2008,2000s,Ariel,0.550023159,516.3418947
Ascari A10 5.0 V8 - [2006],625,7500,413,2.8,4940,3,378.8,155,249,270,2006,2000s,Mercedes,1.755555556,264.8734177
Ascari KZ1 5.0 V8 - [2003],500,7000,368,4.1,4941,3,231.8,192,308,271.8,2007,2000s,Nissan,1.740250184,248.8147992
Ford Mustang Boss 302 - [2010],444,7400,380,3.9,4951,3,219.6,193,310,297.7,2006,2000s,Porsche,1.585488747,288.2391949
Lamborghini Gallardo 5.0 V10 Superleggera - [2007],522,8000,376,3.8,4961,3,210.8,170,273,368.3,2012,2010s,Lotus,1.276133587,289.1546809
Lamborghini Gallardo 5.0 V10 - [2003],513,7800,376,4.3,4961,3,391.1,167,268,248.5,2010,2010s,Dodge,1.891348089,248.5
Lamborghini Gallardo 5.0 V10 Spyder - [2005],513,8000,376,4.2,4961,3,331.9,155,249,266.4,2003,2000s,Mercedes,1.760510511,293.0968017
TVR Chimaera 5.0 - [1993],320,5200,320,4.1,4988,3,205.4,211,339,340.1,1987,1980s,Porsche,1.379006175,295.8652452
TVR Griffith 500 - [1993],320,5500,320,4.1,4988,3,331.9,155,249,239.8,2001,2000s,Mercedes,1.955796497,263.8311301
Audi A6 RS6 5.0 TFSI V10 - [2008],572,6250,479,4.6,4991,3,231.8,196,315,327.2,2013,2010s,Porsche,1.430317848,227.2222222
Audi A6 RS6 Avant 5.0 V10 - [2007],572,6250,479,4.4,4991,3,219.6,196,315,318.7,2000,2000s,Porsche,1.440225918,317.311329
Ford Mustang FR 500 - [1999],415,6800,365,4.5,4997,3,261.6,193,310,261,2008,2000s,Ferrari,1.735632184,206.2649007
TVR Chimaera 500 5.0L V8 - [2001],320,5500,320,4.1,4997,3,378.8,155,249,260.6,2007,2000s,Mercedes,1.730621642,255.9773836
BMW 5 Series M5 V10 4d SMG E60 - [2004],500,7750,384,4.7,4999,3,286.2,181,291,283.9,2008,2000s,Alfa-Romeo,1.585065164,223.3346667
Wiesmann GT MF5 - [2009],500,7750,383,3.9,4999,3,362.1,195,313,247.2,2000,2000s,Aston-Martin,1.82038835,225.2266667
Jaguar XK R-S 5.0 V8 - [2011],542,6500,502,4.2,5000,4,487.3,190,305,293.9,1996,1990s,Dodge,1.531133038,320.0244444
Jaguar XF R-S 5.0 V8 - [2012],542,6500,502,4.4,5000,4,173.8,197,317,310.1,1987,1980s,Porsche,1.451144792,254.282
Jaguar XK R-S GT 5.0 V8 - [2013],542,6500,502,3.9,5000,4,315.3,185,297,300.6,1985,1980s,Lamborghini,1.490352628,247.5924107
Jaguar XF R 5.0 V8 Supercharged - [2009],503,6500,461,4.7,5000,4,254,155,249,257.3,2010,2010s,Audi,1.725612126,183.7029279
Jaguar XK R 5.0 Supercharged - [2009],503,6000,461,4.6,5000,4,266.1,193,310,276.6,2010,2010s,BMW,1.605206074,202.4662162
Jaguar XJ V8 SuperSport - [2009],503,6000,461,4.7,5000,4,219.6,184,296,296,1998,1990s,Porsche,1.5,287.3333333
Jaguar F Type 5.0L V8 S Cabriolet - [2012],488,6500,461,4.2,5000,4,254,174,280,237.4,2012,2010s,Audi,1.870261163,169.495045
Koenigsegg Agera R 5.0 V8 - [2012],1124,7100,885,2.9,5032,4,266.1,180,289,268.2,2011,2010s,BMW,1.655480984,196.3175676
Koenigsegg Agera 5L V8 - [2011],1100,2700,885,2.9,5032,4,302.1,155,249,269.5,2010,2010s,Ford,1.647495362,230.6531532
Koenigsegg Agera S 5.0 V8 Hundra - [2013],1016,7100,811,2.8,5032,4,254.5,155,249,238,2002,2000s,Audi,1.865546218,221.3828829
Lamborghini Countach LP5000S QV - [1985],448,7000,369,4.6,5167,4,254,155,249,240,2012,2010s,Audi,1.85,171.3513514
Lamborghini Huracan LP 610-4 - [2014],602,8250,413,3.1,5204,4,286.2,180,289,269,2008,2000s,Alfa-Romeo,1.650557621,210.231982
Lamborghini Gallardo LP570-4 Super Trofeo Stradale - [2011],562,8000,398,3.3,5204,4,286.2,181,291,277.5,2013,2010s,Alfa-Romeo,1.6,216.875
Lamborghini Gallardo LP570-4 Spyder Performante Edizione - [2013],562,8000,398,3.8,5204,4,219.6,191,307,266.6,2004,2000s,Porsche,1.665416354,274.4058559
Lamborghini Gallardo LP560-4 - [2008],552,8000,398,3.2,5204,4,268.2,155,249,200.4,2013,2010s,BMW,2.215568862,216.1972973
Audi R8 Spyder GT 5.2L V10 - [2011],552,8000,398,3.7,5204,4,268.2,155,249,227.1,2013,2010s,BMW,1.955085865,245.002027
Audi R8 GT 5.2L V10 - [2011],552,8000,398,3.5,5204,4,244,155,249,264.4,2010,2010s,BMW,1.675491679,185.020316
Audi R8 Plus 5.2 V10 - [2012],542,8000,398,3.6,5204,4,376,190,305,291.4,2007,2000s,Chevrolet,1.49622512,286.053211
Lamborghini Gallardo LP550-2 Spyder - [2011],542,8000,398,4.1,5204,4,293.2,179,288,225.4,2013,2010s,Porsche,1.925465839,199.4322581
Audi R8 Plus S-Tronic 5.2 V10 - [2012],542,8000,398,3.5,5204,4,288.9,187,300,267,2013,2010s,Aston-Martin,1.610486891,224.155814
Audi R8 5.2 FSI Quattro V10 - [2009],518,8000,391,3.9,5204,4,219.6,183,294,353.9,1995,1990s,Porsche,1.215032495,327.5632558
Audi R8 Spyder 5.2L V10 - [2009],518,8000,391,4,5204,4,243.6,155,249,215,2013,2010s,Audi,1.995348837,222.016317
Audi R8 5.2 V10 Spyder - [2012],518,8000,391,3.5,5204,4,218.8,186,299,332,2003,2000s,Ferrari,1.280120482,214.8235294
Aston-Martin Vantage V8 550 - [1993],550,6500,549,4.6,5340,4,181.1,173,278,400.9,2004,2000s,Noble,1.060114742,367.8847059
Aston-Martin Vantage 600 - [1998],600,6700,600,4.3,5341,4,181.7,155,249,266.4,2013,2010s,BMW,1.595345345,254.4903529
Ford GT 5.4 V8 - [2003],550,6500,500,3.8,5409,4,181.7,155,249,270.3,2013,2010s,BMW,1.572327044,258.216
Ford Mustang GT 500 - [2010],550,6200,510,4.1,5409,4,293.2,179,288,220.8,2011,2010s,Porsche,1.920289855,199.9698113
Ford Mustang Shelby GT500 - [2006],500,6000,480,4,5409,4,254,186,299,255.4,2012,2010s,Audi,1.660140955,190.9476415
Mercedes SLR Class McLaren Stirling Moss - [2009],641,6500,605,3.4,5439,4,254,186,299,240.9,2012,2010s,Audi,1.760066418,180.1068396
Mercedes SLR Class McLaren 722 Edition - [2006],641,6500,605,3.6,5439,4,219.6,190,305,271.1,2000,2000s,Porsche,1.549243821,266.5816667
Mercedes SLR Class McLaren 722 S Roadster - [2008],641,6500,605,3.6,5439,4,273,195,313,381.8,1997,1990s,TVR,1.100052383,345.4380952
Mercedes SLR Class McLaren - [2003],617,6500,575,3.8,5439,4,304.9,168,270,255,1999,1990s,Ford,1.62745098,224.2771084
Mercedes SLR Class McLaren Roadster - [2009],617,6500,575,3.8,5439,4,254,187,300,265.3,2006,2000s,Audi,1.56049755,203.1403382
Fisker Tramonto 5.4 V8 Performance Plus - [2005],610,5800,650,3.6,5439,4,219.6,181,291,296.7,2007,2000s,Porsche,1.395348837,214.2833333
Mercedes CLK DTM Cabriolet - [2006],574,6100,590,3.9,5439,4,254,155,249,250.9,2005,2000s,Audi,1.650059785,192.1142512
Mercedes CLK DTM AMG 5.4 V8 - [2004],574,6100,590,3.9,5439,4,254,155,249,242.1,2006,2000s,Audi,1.710037175,185.376087
Fisker Tramonto 5.4 V8 - [2005],493,6100,516,4.5,5439,4,349.7,181,291,258,1995,1990s,Chevrolet,1.593023256,241.6788321
Mercedes CLS Class 55 AMG - [2006],476,6100,516,4.5,5439,4,427.1,165,265,357.4,1966,1960s,AC,1.147174035,420.1629268
Mercedes E Class 55K AMG - [2003],469,6100,516,4.5,5439,4,219.6,193,310,297.4,2006,2000s,Porsche,1.375252186,216.6875306
Mercedes SL Class 55 AMG V8 R230 - [2001],469,6100,516,4.7,5439,4,219.6,180,289,271.6,1995,1990s,Porsche,1.502209131,264.9431373
Mercedes S Class 63 Coupe 4Matic - [2014],577,5500,664,3.8,5461,4,121.8,175,281,287.2,2004,2000s,Mitsubishi,1.410167131,248.1975309
Mercedes CLS Class 63 AMG 4Matic - [2013],557,5500,531,3.6,5461,4,181.7,176,283,216,2013,2010s,Maserati,1.87037037,217.0693069
Mercedes SL Class 63 AMG Performance Package - [2012],556,5500,664,4.1,5461,4,181.7,177,284,223.2,2013,2010s,Maserati,1.810035842,224.3049505
Mercedes CLS Class 63 AMG Shooting Brake PP - [2012],550,5250,590,4,5461,4,121.9,155,249,258.3,2009,2000s,Mitsubishi,1.560201316,248.0449132
Mercedes E Class 63 AMG - [2013],550,5500,531,4.1,5461,4,376,155,249,220.2,2008,2000s,Pontiac,1.825613079,220.2
Mercedes SL Class 63 AMG V8 - [2012],530,5500,590,4.2,5461,4,231.8,190,305,261,2010,2010s,Porsche,1.540229885,201.2686567
Mercedes CLS Class 63 AMG Shooting Brake - [2012],518,5250,516,4.3,5461,4,488,168,270,262.8,1992,1990s,Dodge,1.522070015,295.65
Ferrari 550 Maranello - [1997],485,7000,415,4.3,5474,4,218.8,183,294,287.7,1999,1990s,Ferrari,1.390337157,197.79375
Mercedes CL Class 600 Coupe Bi Turbo - [2006],505,6000,612,4.5,5513,4,243.8,185,297,371,2003,2000s,TVR,1.078167116,323.6975
Holden HSV GTS Supercharger - [2002],502,6050,457,4.5,5665,4,149.9,155,249,262.4,2010,2010s,Subaru,1.505335366,265.721519
Ultima GTR 5.7 - [2000],345,5600,350,3.3,5666,4,231.8,186,299,280.1,2013,2010s,Porsche,1.410210639,230.4620253
Lamborghini Diablo SE 5.7 V12 - [1994],520,7100,428,4,5707,4,231.8,186,299,273.3,2012,2010s,Porsche,1.445298207,224.8670886
Chevrolet Corvette C4 ZR1 - [1995],411,5800,385,4.7,5732,4,231.8,184,296,260.7,2012,2010s,Porsche,1.515151515,214.5
Porsche Carrera GT - [2003],611,8000,435,3.9,5733,4,231.8,189,304,268.7,2011,2010s,Porsche,1.470040938,221.0822785
Ferrari 612 Scaglietti F1 - [2004],533,7250,434,4.3,5748,4,231.8,187,300,269.6,2011,2010s,Porsche,1.465133531,221.8227848
Ferrari 575 M Fiorano - [2002],508,7250,434,4.2,5748,4,231.8,185,297,269.6,2012,2010s,Porsche,1.465133531,221.8227848
Ford Mustang Shelby GT500 - [2012],662,6500,631,3.7,5812,4,231.8,188,302,265.1,2011,2010s,Porsche,1.490003772,218.1202532
Ford GT 90 6.0L V12 - [1995],720,6600,660,3.1,5927,4,219.9,165,265,205.1,2013,2010s,Porsche,1.92588981,210.8116456
Audi R8 6.0 Quattro V12 TDI - [2009],500,4500,737,4.2,5934,4,243.8,195,313,354.5,2001,2000s,TVR,1.100141044,281.7820513
Aston-Martin Vanquish 5.9 V12 - [2012],565,6750,457,4,5935,4,454.2,180,289,242.2,1970,1970s,Iso,1.610239472,310.5128205
Aston-Martin Vantage V12 S - [2013],565,6750,457,3.7,5935,4,425.5,174,280,302.3,1973,1970s,Monteverdi,1.290109163,334.8553846
Aston-Martin DBS V12 2d - [2007],510,6500,420,4.2,5935,4,425.5,180,289,302.3,1970,1970s,Monteverdi,1.290109163,334.8553846
Aston-Martin Vantage V12 Zagato - [2012],510,6500,420,4.1,5935,4,219.6,190,305,276,2003,2000s,Porsche,1.380434783,205.7322835
Aston-Martin Vantage V12 Roadster - [2012],510,6500,420,4.4,5935,4,252.2,155,249,179.6,2013,2010s,Audi,2.115812918,296.34
Aston-Martin DB9 5.9 V12 - [2012],510,6500,457,4.5,5935,4,162.9,155,249,232,2000,2000s,Audi,1.620689655,200.5319149
Aston-Martin Vanquish 5.9 V12 - [2000],450,6000,410,4.4,5935,4,213.3,183,294,281.5,1997,1990s,Ferrari,1.332149201,201.1786667
Aston-Martin Vanquish 5.9 V12 RS - [2009],600,6250,509,4,5938,4,219.6,190,305,277.7,2003,2000s,Porsche,1.350378106,210.3114667
Chevrolet Corvette Callaway C16 - [2007],616,6200,582,3.8,5967,4,182.6,155,249,191.8,2013,2010s,BMW,1.955161627,279.2608
BMW 7 Series 760 Li - [2012],537,5250,553,4.5,5972,4,121.8,157,252,261.4,2006,2000s,Mitsubishi,1.400153022,259.257377
Pagani Huayra 6.0L Twin turbo - [2013],700,6300,740,3.5,5980,4,292.8,170,273,306.7,2008,2000s,Morgan,1.180306488,313.4779006
Mercedes SL Class 65 AMG V12 Black Series R230 - [2008],661,5400,738,3.7,5980,4,292.8,174,280,289.6,2008,2000s,Wiesmann,1.25,288.8
Mercedes SL Class 65 AMG V12 - [2012],621,4800,738,3.9,5980,4,292.8,170,273,308,2011,2010s,Morgan,1.175324675,307.1491713
Mercedes S Class 65 AMG - [2013],621,4800,738,4.2,5980,4,255.3,185,297,305.8,1996,1990s,TVR,1.177240026,271.8222222
Mercedes S Class 65 AMG - [2010],621,4800,738,4.3,5980,4,151.3,174,280,232.7,2012,2010s,Audi,1.525569403,224.8340845
Mercedes CL Class 65 AMG Bi Turbo - [2003],612,6500,738,4.3,5980,4,121.4,155,249,228.2,2013,2010s,Mercedes,1.555652936,213.4152113
Mercedes SL Class 65 AMG V12 R230 - [2008],604,4800,738,4.1,5980,4,121.4,155,249,223.9,2013,2010s,Mercedes,1.585529254,209.3938028
Mercedes SL Class 65 AMG V12 R230 - [2004],604,4800,738,3.9,5980,4,181.1,170,273,325.9,2003,2000s,Noble,1.080085916,324.0482955
Lamborghini Diablo GTR 6.0L V12 - [2001],582,7300,472,3.4,5992,4,213.9,172,276,253.9,1996,1990s,Lotus,1.378495471,214.0014286
Lamborghini Diablo 6.0 V12 - [2000],550,7100,457,3.8,5992,4,219.6,175,281,330.1,2002,2000s,TVR,1.060284762,273.5114286
Lamborghini Diablo VT 6.0L V12 - [2000],543,7100,457,3.9,5992,4,225.5,155,249,233.8,2009,2000s,Nissan,1.497005988,184.368
Ferrari Enzo 6.0 V12 - [2002],650,7800,485,3.5,5998,4,213.9,155,249,388.8,2001,2000s,AC,0.900205761,327.7028571
Bentley Continental GT Speed 6.0 W12 - [2014],626,6000,605,4,5998,4,121.8,157,252,246.4,2003,2000s,Mitsubishi,1.400162338,228.5449275
Maserati MC12 6.0 V12 - [2004],621,7500,481,3.8,5998,4,345.7,157,252,355.6,2000,2000s,Ultima,0.970191226,360.7536232
Bentley Continental SuperSports Flying Star - [2010],621,6000,590,3.8,5998,4,210.8,145,233,313.6,2012,2010s,Lotus,1.100127551,268.1507246
Bentley Continental SuperSports 6.0 W12 - [2009],621,6000,590,3.8,5998,4,210.8,170,273,319.4,2012,2010s,Lotus,1.080150282,273.1101449
Bentley Continental GT Speed - [2012],616,6000,590,4,5998,4,243.9,155,249,255.5,2001,2000s,BMW,1.350293542,199.215942
Bentley Continental GT Speed Convertible 6.0 W12 - [2013],616,6000,590,4.1,5998,4,210.8,172,276,239.2,2011,2010s,Lotus,1.442307692,204.5333333
Bentley Continental GTC Speed - [2009],602,6000,553,4.5,5998,4,121.6,160,257,242.7,2003,2000s,Subaru,1.380304903,202.8537313
Bentley Continental Flying Spur Speed 6.0 W12 - [2008],602,6000,553,4.5,5998,4,151.3,155,249,203,2010,2010s,Audi,1.650246305,201.1820896
Bentley Continental GT Speed 2d Auto - [2007],600,6000,553,4.3,5998,4,209.6,175,281,249,2014,2010s,Porsche,1.345381526,208.119403
Bentley Continental GTZ Zagato 6.0 W12 2d - [2008],600,6000,553,4.5,5998,4,209.6,173,278,243.6,2014,2010s,Porsche,1.375205255,203.6059701
Bentley Continental GT 6.0 2d W12 - [2003],552,6100,479,4.7,5998,4,209.6,177,284,249,2014,2010s,Porsche,1.345381526,208.119403
Bentley Continental GTC 6.0 W12 Cabrio - [2005],552,6100,479,4.7,5998,4,209.6,176,283,243.6,2014,2010s,Porsche,1.375205255,203.6059701
Ferrari SA Aperta Pininfarina 6.0 V12 - [2011],670,8250,457,3.2,5999,4,121.8,157,252,232.8,2005,2000s,Mitsubishi,1.400343643,217.803681
Ferrari 599 GTO - [2010],661,8250,457,3.3,5999,4,149.9,155,249,215.9,2008,2000s,Subaru,1.50532654,230.5147692
Ferrari 599 GTB Fiorano - [2006],611,7600,448,3.5,5999,4,304.3,163,262,301.8,1993,1990s,TVR,1.060304838,301.8
McLaren F1 6.0 V12 - [1994],627,7400,480,3.2,6064,5,304.3,167,268,301.8,1993,1990s,TVR,1.060304838,301.8
Hennessey Venom GT - [2010],1030,6500,972,2.5,6162,5,304.9,167,268,301.8,2001,2000s,TVR,1.060304838,301.8
Chevrolet Corvette C6 ZR1 - [2007],638,6500,604,3.4,6162,5,219.9,175,281,289,2004,2000s,TVR,1.100346021,263.5534591
Chevrolet Corvette C6 ZR1 6.2 V8 - [2009],638,6500,606,3.8,6162,5,121.6,155,249,214.2,2010,2010s,Subaru,1.470588235,216.24
Chevrolet Camaro ZL1 6.2L V8 - [2011],580,6100,556,4,6162,5,121.6,155,249,214.2,2011,2010s,Subaru,1.470588235,216.24
Vauxhall-Opel VXR8 GTS 6.2 V8 - [2013],576,6150,550,4.1,6162,5,121.9,155,249,570.6,2013,2010s,Caterham,0.545040308,401.8051447
Cadillac CTS -V 6.2 V8 Auto - [2009],556,6100,551,4.1,6162,5,158.3,155,249,316.3,2001,2000s,Noble,0.9800822,326.5032258
Chevrolet Corvette 6.2 V8 2d - [2007],436,5900,428,4,6162,5,182.4,175,281,219.7,1993,1990s,Porsche,1.370050068,269.3332226
Pontiac G8 GXP 6.2 V8 - [2008],402,6000,402,4.7,6162,5,121.9,121,194,545.4,1999,1990s,Ariel,0.550055006,294.516
Lamborghini Murcielago 6.2 V12 - [2001],571,7500,479,3.6,6192,5,206.6,173,278,224.2,1997,1990s,Porsche,1.320249777,195.4175676
Mercedes SLS AMG Black Series 6.2 V8 - [2012],622,7400,468,3.6,6208,5,121,155,249,198.6,2012,2010s,Audi,1.490433031,187.8648649
Mercedes SLS AMG GT 6.2 V8 - [2012],583,6800,479,3.7,6208,5,121.6,135,217,232.2,2000,2000s,Subaru,1.270456503,204.6508475
Mercedes SLS AMG Roadster GT - [2012],583,6800,479,3.7,6208,5,121,144,231,373.4,2011,2010s,KTM,0.790037493,373.4
Mercedes SLS 6.2 V8 AMG Coupe DCT-7 - [2009],563,6800,479,3.9,6208,5,121,144,231,373.4,2013,2010s,KTM,0.790037493,373.4
Mercedes S Class 63 AMG - [2006],518,6800,465,4.5,6208,5,193.9,165,265,228.3,2002,2000s,Honda,1.270258432,176.342069
Mercedes SL Class 63 AMG V8 R230 - [2008],518,6800,465,4.5,6208,5,121,144,231,331.7,2013,2010s,KTM,0.84715104,365.9323843
Mercedes S Class 63 L AMG - [2009],518,6800,465,4.5,6208,5,261.1,167,268,267.9,1992,1990s,TVR,1.045166107,291.8196429
Mercedes C Class 63 AMG Coupe Black Series - [2011],510,6800,457,4.2,6208,5,137.9,170,273,518.5,2011,2010s,BAC,0.540019286,383.3196429
Mercedes CLS Class 63 AMG - [2006],507,6100,465,4.4,6208,5,121.8,150,241,202.1,2000,2000s,Mitsubishi,1.365660564,201.3677536
Mercedes CLK 63 AMG Black Series - [2007],500,6800,465,4.1,6208,5,121.8,150,241,202.1,2000,2000s,Mitsubishi,1.365660564,201.3677536
Mercedes C Class 63 AMG Edition 507 - [2013],500,6800,450,4.2,6208,5,156.7,156,251,179.2,1999,1990s,Nissan,1.540178571,187.6405797
Mercedes C Class 63 AMG Edition 507 Estate - [2013],500,6800,450,4.3,6208,5,121.6,150,241,213.1,2000,2000s,Subaru,1.295166588,200.7463768
Mercedes C Class 63 AMG Edition 507 Coupe - [2013],500,6800,450,4.2,6208,5,121.6,135,217,220.8,1996,1990s,Subaru,1.25,193.6
Mercedes CLK 63 AMG - [2006],474,6800,465,4.5,6208,5,121.6,135,217,231.9,1996,1990s,Subaru,1.190168176,203.3326087
Mercedes C Class 63 AMG - [2007],451,6800,443,4.4,6208,5,121.6,135,217,231.9,1997,1990s,Subaru,1.190168176,218.4565217
SSC Aero SC 8T 6.3L - [2005],908,6600,771,2.9,6257,5,121.6,135,217,231.9,1996,1990s,Subaru,1.190168176,212.575
Ferrari LaFerrari 6.3L V12 - [2013],789,9000,516,3,6262,5,121.6,135,217,231.9,1997,1990s,Subaru,1.190168176,218.4565217
Ferrari F12 Berlinetta 6.3L V12 - [2012],730,8500,509,3,6262,5,121.6,135,217,231.9,1997,1990s,Subaru,1.190168176,212.575
